2.685102642,0.068427692
2.700447265,0.298176536
2.730861271,0.57418097
2.791345235,0.896823273
2.851794793,1.196528919
2.897209373,1.472915631
2.987694484,1.796322489
3.093214572,2.143048282
3.198631446,2.420964104
3.334255897,2.837264421
3.454673344,3.115562522
3.590125769,3.417179556
3.695611453,3.740968691
3.800925111816205503.950074544133952,3.950074544
3.876272028747280304.181352498184182,4.181352498
3.93665277724683804.435184831224436,4.435184831
3.997136740701101604.757827134064759,4.757827134
4.04255132076914605.034213846095036,5.034213846
4.07299973240567705.333154937115334,5.333154937
4.08848197561069405.654650407125656,5.654650407
4.05906571352116106.043809014106045,6.043809014
4.02951183149203406.341220994686342,6.341220995
3.96988799266027206.591995106846594,6.591995107
3.865365649,6.910432356
3.790706831,7.137887534
3.715979204,7.319469399
3.611422455,7.614969991
3.476898964,7.932642685
3.357341642,8.227761
3.267716656,8.477770557
3.148159333,8.772888872
3.043499369,8.999579495
2.938908215,9.272143431
2.864318208,9.545471922
2.744829695,9.88646355